ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Alanine and aspartate metabolism	Alanine and aspartate metabolism	4/267	23/1145	0.173913043478261	0.745806871844976	-0.678816953298581	0.821838735324467	0.999080029200713	0.999080029200713	gene_2207/gene_4150/gene_4167/gene_4883	4	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Carbon fixation	Carbon fixation	4/267	23/1145	0.173913043478261	0.745806871844976	-0.678816953298581	0.821838735324467	0.999080029200713	0.999080029200713	gene_246/gene_1181/gene_2951/gene_7922	4	onu_vs_self	significant	down	FALSE	Energy Metabolism	METABOLIC
Methionine metabolism	Methionine metabolism	3/267	18/1145	0.166666666666667	0.714731585518102	-0.672433540817024	0.828860025644351	0.999080029200713	0.999080029200713	gene_2351/gene_3815/gene_5159	3	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	3/267	18/1145	0.166666666666667	0.714731585518102	-0.672433540817024	0.828860025644351	0.999080029200713	0.999080029200713	gene_1875/gene_2009/gene_7604	3	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	7/267	39/1145	0.179487179487179	0.769710938250264	-0.806583689080809	0.841513744836834	0.999080029200713	0.999080029200713	gene_121/gene_2009/gene_4040/gene_4150/gene_6189/gene_6206/gene_7604	7	onu_vs_self	significant	down	FALSE	TRANSLATION	REGULATORY
Erythromycin biosynthesis	Erythromycin biosynthesis	1/267	7/1145	0.142857142857143	0.612627073301231	-0.56666780457587	0.84497906054533	0.999080029200713	0.999080029200713	gene_4052	1	onu_vs_self	significant	down	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Caprolactam degradation	Caprolactam degradation	3/267	20/1145	0.15	0.643258426966292	-0.887184293472031	0.880374163979304	0.999080029200713	0.999080029200713	gene_1864/gene_5622/gene_5800	3	onu_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
2,4-Dichlorobenzoate degradation	2,4-Dichlorobenzoate degradation	1/267	8/1145	0.125	0.536048689138577	-0.725869506494925	0.881350405742515	0.999080029200713	0.999080029200713	gene_6989	1	onu_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Oxidative phosphorylation	Oxidative phosphorylation	1/267	8/1145	0.125	0.536048689138577	-0.725869506494925	0.881350405742515	0.999080029200713	0.999080029200713	gene_3968	1	onu_vs_self	significant	down	FALSE	Energy Metabolism	METABOLIC
Biotin metabolism	Biotin metabolism	2/267	15/1145	0.133333333333333	0.571785268414482	-0.920215187482215	0.897898709964848	0.999080029200713	0.999080029200713	gene_2442/gene_5698	2	onu_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
1,2-Dichloroethane degradation	1,2-Dichloroethane degradation	1/267	9/1145	0.111111111111111	0.476487723678735	-0.869121201468696	0.90921271151802	0.999080029200713	0.999080029200713	gene_4567	1	onu_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Synthesis and degradation of ketone bodies	Synthesis and degradation of ketone bodies	1/267	9/1145	0.111111111111111	0.476487723678735	-0.869121201468696	0.90921271151802	0.999080029200713	0.999080029200713	gene_6749	1	onu_vs_self	significant	down	FALSE	Lipid Metabolism	METABOLIC
Vitamin B6 metabolism	Vitamin B6 metabolism	3/267	23/1145	0.130434782608696	0.559355153883732	-1.17673201513514	0.932026399552871	0.999080029200713	0.999080029200713	gene_662/gene_972/gene_4108	3	onu_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Fatty acid biosynthesis (path 2)	Fatty acid biosynthesis (path 2)	1/267	11/1145	0.0909090909090909	0.389853592100783	-1.12084422641145	0.946888281470148	0.999080029200713	0.999080029200713	gene_7933	1	onu_vs_self	significant	down	FALSE	Lipid Metabolism	METABOLIC
